display_name,sub_title,address_1,address_2,city,state,postal_code,phone_number,website,timezone,lat,lng,header_image,promo_image,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,product_1_name,product_1_description,product_1_price_name,product_1_price,product_1_image,product_2_name,product_2_description,product_2_price_name,product_2_price,product_2_image
Koi Palace Contempo,Modern Chinese dim sum and seafood,19369 Stevens Creek Blvd #100,,Cupertino,CA,95014,408-849-8888,https://www.koipalacecontempo.com/,America/Los_Angeles,37.3220,-122.0116,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Eureka! Cupertino,American restaurant and bar,19369 Stevens Creek Blvd,,Cupertino,CA,95014,669-266-6752,https://eurekarestaurantgroup.com/,America/Los_Angeles,37.3222,-122.0119,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Rio Adobe Southwest Cafe,Southwest style Mexican food,10525 South De Anza Blvd #100,,Cupertino,CA,95014,408-873-1600,https://rioadobe.com/,America/Los_Angeles,37.3154,-122.0321,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Harumi Sushi,Casual sushi restaurant,19754 Stevens Creek Blvd,,Cupertino,CA,95014,408-973-9985,,America/Los_Angeles,37.3235,-122.0186,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Bel Cool Tasty Pot,Sichuan style hot pot and dry pot,10851 N Wolfe Rd,,Cupertino,CA,95014,408-253-3998,,America/Los_Angeles,37.3350,-122.0152,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Lei Garden,Dim sum and Asian specialties,10125 Bandley Dr,,Cupertino,CA,95014,408-996-3838,https://www.leigarden.us/,America/Los_Angeles,37.3239,-122.0352,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Lazy Dog Restaurant & Bar,American comfort food restaurant and bar,19359 Stevens Creek Blvd,,Cupertino,CA,95014,,https://www.lazydogrestaurants.com/,America/Los_Angeles,37.3222,-122.0107,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Dosateria,Indian dosa and casual dining,20955 Stevens Creek Blvd,,Cupertino,CA,95014,408-257-7000,,America/Los_Angeles,37.3229,-122.0414,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Pacific Catch Cupertino,West Coast fish house,19399 Stevens Creek Blvd,,Cupertino,CA,95014,408-899-2604,https://pacificcatch.com/locations/cupertino/,America/Los_Angeles,37.3225,-122.0127,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
Alexander's Steakhouse Cupertino,Fine dining steakhouse,19379 Stevens Creek Blvd,,Cupertino,CA,95014,408-446-2222,https://alexanderssteakhouse.com/cupertino/,America/Los_Angeles,37.3224,-122.0118,,,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,,Lunch Special,Sample lunch menu item,Regular,14.00,
