display_name,sub_title,address_1,address_2,city,state,postal_code,phone_number,website,timezone,lat,lng,header_image,promo_image,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,product_1_name,product_1_description,product_1_price_name,product_1_price,product_1_image,product_2_name,product_2_description,product_2_price_name,product_2_price,product_2_image
Koi Palace Contempo,Modern Chinese dim sum and seafood,19369 Stevens Creek Blvd #100,,Cupertino,CA,95014,408-849-8888,https://www.koipalacecontempo.com/,America/Los_Angeles,37.3220,-122.0116,images/koi-palace-contempo-header.jpg,images/koi-palace-contempo-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/koi-palace-contempo-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/koi-palace-contempo-product-2.jpg
Eureka! Cupertino,American restaurant and bar,19369 Stevens Creek Blvd,,Cupertino,CA,95014,669-266-6752,https://eurekarestaurantgroup.com/,America/Los_Angeles,37.3222,-122.0119,images/eureka-cupertino-header.jpg,images/eureka-cupertino-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/eureka-cupertino-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/eureka-cupertino-product-2.jpg
Rio Adobe Southwest Cafe,Southwest style Mexican food,10525 South De Anza Blvd #100,,Cupertino,CA,95014,408-873-1600,https://rioadobe.com/,America/Los_Angeles,37.3154,-122.0321,images/rio-adobe-header.jpg,images/rio-adobe-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/rio-adobe-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/rio-adobe-product-2.jpg
Harumi Sushi,Casual sushi restaurant,19754 Stevens Creek Blvd,,Cupertino,CA,95014,408-973-9985,,America/Los_Angeles,37.3235,-122.0186,images/harumi-sushi-header.jpg,images/harumi-sushi-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/harumi-sushi-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/harumi-sushi-product-2.jpg
Bel Cool Tasty Pot,Sichuan style hot pot and dry pot,10851 N Wolfe Rd,,Cupertino,CA,95014,408-253-3998,,America/Los_Angeles,37.3350,-122.0152,images/bel-cool-tasty-pot-header.jpg,images/bel-cool-tasty-pot-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/bel-cool-tasty-pot-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/bel-cool-tasty-pot-product-2.jpg
Lei Garden,Dim sum and Asian specialties,10125 Bandley Dr,,Cupertino,CA,95014,408-996-3838,https://www.leigarden.us/,America/Los_Angeles,37.3239,-122.0352,images/lei-garden-header.jpg,images/lei-garden-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/lei-garden-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/lei-garden-product-2.jpg
Lazy Dog Restaurant & Bar,American comfort food restaurant and bar,19359 Stevens Creek Blvd,,Cupertino,CA,95014,,https://www.lazydogrestaurants.com/,America/Los_Angeles,37.3222,-122.0107,images/lazy-dog-cupertino-header.jpg,images/lazy-dog-cupertino-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/lazy-dog-cupertino-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/lazy-dog-cupertino-product-2.jpg
Dosateria,Indian dosa and casual dining,20955 Stevens Creek Blvd,,Cupertino,CA,95014,408-257-7000,,America/Los_Angeles,37.3229,-122.0414,images/dosateria-header.jpg,images/dosateria-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/dosateria-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/dosateria-product-2.jpg
Pacific Catch Cupertino,West Coast fish house,19399 Stevens Creek Blvd,,Cupertino,CA,95014,408-899-2604,https://pacificcatch.com/locations/cupertino/,America/Los_Angeles,37.3225,-122.0127,images/pacific-catch-cupertino-header.jpg,images/pacific-catch-cupertino-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/pacific-catch-cupertino-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/pacific-catch-cupertino-product-2.jpg
Alexander's Steakhouse Cupertino,Fine dining steakhouse,19379 Stevens Creek Blvd,,Cupertino,CA,95014,408-446-2222,https://alexanderssteakhouse.com/cupertino/,America/Los_Angeles,37.3224,-122.0118,images/alexanders-steakhouse-header.jpg,images/alexanders-steakhouse-promo.jpg,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00,Signature Item,Sample featured menu item,Regular,18.00,images/alexanders-steakhouse-product-1.jpg,Lunch Special,Sample lunch menu item,Regular,14.00,images/alexanders-steakhouse-product-2.jpg
